ID,Player Name,Position,Team,Salary,DK-Avg-Pts,FantasyProsProj,,,,,Name,Position,Salary,GameInfo,AvgPointsPerGame
89,Chase Daniel,QB,KC,5000,0,0,,,,,Chase Ford,TE,3800,Was@Min 01:00PM ET,5.72
90,Chase Ford,TE,MIN,3800,5.72,3,,,,,Chase Reynolds,RB,3000,StL@SF 04:05PM ET,0
91,Chase Reynolds,RB,STL,3000,0,0,,,,,Chiefs,DST,3300,NYJ@KC 01:00PM ET,8
92,Chris Givens,WR,STL,3000,3.12,2.3,,,,,Chris Givens,WR,3000,StL@SF 04:05PM ET,3.12
93,Chris Johnson,RB,NYJ,3200,7.375,3.3,,,,,Chris Ivory,RB,4500,NYJ@KC 01:00PM ET,13.225
94,Chris Ogbonnaya,RB,CAR,3000,2.75,1.2,,,,,Chris Johnson,RB,3200,NYJ@KC 01:00PM ET,7.375
95,Chris Owusu,WR,NYJ,3000,2.925,0.3,,,,,Chris Ogbonnaya,RB,3000,NO@Car 08:25PM ET,2.75
96,Chris Polk,RB,PHI,3000,1.68,2,,,,,Chris Owusu,WR,3000,NYJ@KC 01:00PM ET,2.925
97,Christian Ponder,QB,MIN,5000,7.24,0,,,,,Chris Polk,RB,3000,Phi@Hou 01:00PM ET,1.68
98,Christine Michael,RB,SEA,3000,0.85,3.9,,,,,Christian Ponder,QB,5000,Was@Min 01:00PM ET,7.24
99,Christopher Ivory,RB,NYJ,3000,0.85,9.6,,,,,Christine Michael,RB,3000,Oak@Sea 04:25PM ET,0.85
100,Clay Harbor,TE,JAC,4200,10.48,5,,,,,Clark Harris,TE,3000,Jax@Cin 01:00PM ET,0
101,Coby Fleener,TE,IND,3100,7.225,4.8,,,,,Clay Harbor,TE,4200,Jax@Cin 01:00PM ET,10.48
102,Cody Latimer,WR,DEN,3000,0,0,,,,,Coby Fleener,TE,3100,Ind@NYG 08:30PM ET,7.225
103,Cole Beasley,WR,DAL,3000,3.25,2.1,,,,,Cody Latimer,WR,3000,Den@NE 04:25PM ET,0
104,Colin Kaepernick,QB,SF,7000,19.394,20.5,,,,,Cole Beasley,WR,3000,Ari@Dal 01:00PM ET,3.25
105,Colt McCoy,QB,WAS,6100,13.99,14.5,,,,,Colin Kaepernick,QB,7000,StL@SF 04:05PM ET,19.394
106,Cooper Helfet,TE,SEA,3000,4.7,0.8,,,,,Colt McCoy,QB,6100,Was@Min 01:00PM ET,13.99
107,Cordarrelle Patterson,WR,MIN,4800,10.113,9.3,,,,,Colts,DST,3200,Ind@NYG 08:30PM ET,8.375
108,Corey Washington,WR,NYG,3000,0,0.1,,,,,Cooper Helfet,TE,3000,Oak@Sea 04:25PM ET,4.7
109,Cory Harkey,RB,STL,3000,0.871,0.3,,,,,Cordarrelle Patterson,WR,4800,Was@Min 01:00PM ET,10.113
110,Cory Harkey,TE,STL,3000,0.871,-1,,,,,Corey Washington,WR,3000,Ind@NYG 08:30PM ET,0
111,Crockett Gillmore,TE,BAL,3000,1.275,3.5,,,,,Cory Harkey,TE,3000,StL@SF 04:05PM ET,0.871
112,Cyrus Gray,RB,KC,3000,1.3,0,,,,,Cowboys,DST,2900,Ari@Dal 01:00PM ET,6.125
113,D.C. Jefferson,TE,CAR,3000,1.3,0,,,,,Crockett Gillmore,TE,3000,Bal@Pit 08:30PM ET,1.275
114,Dallas Clark,TE,FA,3000,1.3,0,,,,,Cyrus Gray,RB,3000,NYJ@KC 01:00PM ET,1.3
115,Damaris Johnson,WR,HOU,3000,4.488,2.9,,,,,Damaris Johnson,WR,3000,Phi@Hou 01:00PM ET,4.488
116,Damien Williams,RB,MIA,3000,1,-0.3,,,,,Damien Williams,RB,3000,SD@Mia 01:00PM ET,1
117,Dan Herron,RB,IND,3000,1,0.6,,,,,Dane Sanzenbacher,WR,3000,Jax@Cin 01:00PM ET,2.1
118,Dane Sanzenbacher,WR,CIN,3000,2.1,1,,,,,Daniel Fells,TE,3000,Ind@NYG 08:30PM ET,6.071
