Pid,Pn,Name,S,Team,Or,Ppg,Projected
170627,W,Daniel Cleary,2900,,1.00,1.1,0.20386
451521,D,Brett Bellemore,2500,,1.00,1.1,0.20386
339758,W,Cody McLeod,2500,,2.00,1.0,0.14536
607959,W,Adam Lowry,2500,,1.00,1.0,0.10386
300785,W,Devin Setoguchi,2500,,12.00,0.6,0.16036
594397,C,Brad Malone,2500,,19.00,0.6,0.45086
498232,D,Victor Bartley,2500,,21.00,0.5,0.43386
544143,C,Michael Latta,2500,,25.00,0.5,0.59986
447863,D,Grant Clitsome,2500,,8.00,0.6,-0.00564
170824,D,Scott Hannan,2500,,28.00,0.4,0.62436
522376,D,Colby Robak,2500,,27.00,0.4,0.58286
790352,W,Barclay Goodrow,2500,,4.00,0.9,0.12836
229372,D,Braydon Coburn,2500,,2.00,0.9,0.04536
170801,C,Manny Malhotra,2800,,1.00,0.9,0.00386
504261,W,Magnus Paajarvi,2500,,13.00,0.5,0.10186
555131,W,Tye McGinn,2500,,19.00,0.5,0.35086
172443,C,Steve Ott,2500,,17.00,0.5,0.26786
549856,C,Jordan Nolan,2500,,18.00,0.5,0.30936
232292,W,Chris Thorburn,2500,,7.00,0.5,-0.14714
456690,W,Matt Halischuk,2500,,7.00,0.5,-0.14714
504680,W,Erik Condra,2500,,6.00,0.5,-0.18864
554518,C,Max Reinhart,2500,,9.00,0.5,-0.06414
496804,C,Andrew Desjardins,2500,,2.00,0.8,-0.05464
547322,G,Anders Lindback,6200,,22.00,0.4,0.37536
547487,D,Mark Barberio,2500,,22.00,0.4,0.37536
376393,W,Marc-Andre Cliche,2500,,2.00,0.7,-0.15464
172451,W,Brian McGrattan,2500,,12.00,0.4,-0.03964
