Pid,Pn,Name,S,Team,Or,Ppg,Projected,Value,Home,Last 10,vsBackup,isStarting,isStarter,Ppg - Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,,Swp,Pp,I,News
741412,C,Bo Horvat,"2,700.00",Van,23.00,1.40,1.54,0.5703703704,FALSE,,,,,1.4,4975,4974,4975,Tor,Van,91,,,,true,1,O,2
451925,C,Stephen Gionta,"2,500.00",NJ,19.00,1.40,1.54,0.616,TRUE,,,,,1.4,4964,4964,4976,NJ,Was,91,,,,true,1,O,2
495950,C,Joe Vitale,"2,500.00",Ari,16.00,1.40,1.54,0.616,TRUE,,,,,1.4,4977,4977,4954,Ari,Bos,91,,,,true,1,O,2
296124,D,Kyle Quincey,"3,000.00",Det,5.00,1.50,1.5375,0.5125,TRUE,,TRUE,,,1.5,4958,4958,4966,Det,NYR,94,,,,true,1,DTD,2
324924,LW,Drew Miller,"2,700.00",Det,2.00,1.50,1.5375,0.5694444444,TRUE,,TRUE,,,1.5,4958,4958,4966,Det,NYR,92,,,,true,1,O,1
447212,C,Jay Beagle,"2,500.00",Was,20.00,1.50,1.5,0.6,FALSE,,,,,1.5,4976,4964,4976,NJ,Was,91,,,,true,1,O,2
544107,D,Matt Irwin,"3,400.00",SJ,13.00,1.50,1.5,0.4411764706,FALSE,,,,,1.5,4971,4956,4971,Cgy,SJ,94,,,,true,1,DTD,2
400976,D,Mike Weber,"2,500.00",Buf,19.00,1.50,1.5,0.6,FALSE,,,,,1.5,4955,4979,4955,Fla,Buf,94,,,,true,1,DTD,1
555872,RW,Jesper Fast,"2,500.00",NYR,7.00,1.30,1.495,0.598,FALSE,TRUE,,,,1.3,4966,4958,4966,Det,NYR,93,,,,true,1,O,1
547228,RW,Matt Fraser,"2,500.00",Bos,25.00,1.20,1.47,0.588,FALSE,,TRUE,,,1.2,4954,4977,4954,Ari,Bos,93,,,,true,1,O,2
594808,D,Kevan Miller,"2,500.00",Bos,24.00,1.20,1.47,0.588,FALSE,,TRUE,,,1.2,4954,4977,4954,Ari,Bos,94,,,,true,1,O,2
170941,LW,Simon Gagne,"3,000.00",Bos,26.00,1.10,1.4575,0.4858333333,FALSE,,TRUE,,,1.1,4954,4977,4954,Ari,Bos,92,,,,true,1,DTD,1
452080,LW,Rob Klinkhammer,"2,500.00",Bos,26.00,1.10,1.4575,0.583,FALSE,,TRUE,,,1.1,4969,4977,4954,Ari,Bos,92,,,,true,1,O,2
547476,D,Korbinian Holzer,"2,800.00",Tor,3.00,1.60,1.44,0.5142857143,TRUE,,,,,1.6,4974,4974,4975,Tor,Van,94,,,,true,1,O,2
660042,RW,Damien Brunner,"3,400.00",NJ,8.00,1.60,1.44,0.4235294118,TRUE,,,,,1.6,4964,4964,4976,NJ,Was,93,,,,true,1,O,2
269234,LW,Lauri Korpikoski,"2,700.00",Ari,10.00,1.60,1.44,0.5333333333,TRUE,,,,,1.6,4977,4977,4954,Ari,Bos,92,,,,true,1,O,1
329642,C,James Sheppard,"3,100.00",SJ,8.00,1.80,1.44,0.464516129,FALSE,,,,,1.8,4971,4956,4971,Cgy,SJ,91,,,,true,1,DTD,2
550774,RW,Kevin Hayes,"3,200.00",NYR,7.00,1.80,1.44,0.45,FALSE,,,,,1.8,4966,4958,4966,Det,NYR,93,,,,true,1,DTD,1
300790,D,Marc Staal,"2,600.00",NYR,7.00,1.80,1.44,0.5538461538,FALSE,,,,,1.8,4966,4958,4966,Det,NYR,94,,,,true,1,O,1
171112,RW,Brian Gionta,"3,300.00",Buf,5.00,1.80,1.44,0.4363636364,FALSE,,,,,1.8,4955,4979,4955,Fla,Buf,93,,,,true,1,O,2
653311,C,Brian Flynn,"2,800.00",Buf,5.00,1.80,1.44,0.5142857143,FALSE,,,,,1.8,4955,4979,4955,Fla,Buf,91,,,,true,1,O,1
728700,D,Andrej Sustr,"2,500.00",TB,23.00,1.20,1.44,0.576,TRUE,,,,,1.2,4973,4973,4982,TB,Cls,94,,,,true,1,O,2
296907,LW,Brandon Prust,"2,600.00",Mon,30.00,1.20,1.44,0.5538461538,FALSE,,,,,1.2,4963,4962,4963,Dal,Mon,92,,,,true,1,O,1
170808,D,Bryan Allen,"2,500.00",Mon,30.00,1.20,1.44,0.576,FALSE,,,,,1.2,4963,4962,4963,Dal,Mon,94,,,,true,1,O,2
741407,D,Seth Jones,"2,800.00",Nsh,6.00,1.40,1.435,0.5125,TRUE,,TRUE,,,1.4,4980,4980,4957,Nsh,Chi,94,,,,true,1,O,2
595927,D,Mattias Ekholm,"2,500.00",Nsh,6.00,1.40,1.435,0.574,TRUE,,TRUE,,,1.4,4980,4980,4957,Nsh,Chi,94,,,,true,1,O,2
326026,D,Jonathan Ericsson,"2,500.00",Det,5.00,1.40,1.435,0.574,TRUE,,TRUE,,,1.4,4958,4958,4966,Det,NYR,94,,,,true,1,DTD,2
521854,RW,Richard Panik,"2,500.00",Tor,12.00,1.30,1.43,0.572,TRUE,,,,,1.3,4974,4974,4975,Tor,Van,93,,,,true,1,O,2
653290,RW,J.T. Brown,"2,500.00",TB,30.00,1.10,1.43,0.572,TRUE,,,,,1.1,4973,4973,4982,TB,Cls,93,,,,true,1,O,2
600110,D,Jamie Oleksiak,"2,500.00",Dal,17.00,1.30,1.43,0.572,TRUE,,,,,1.3,4962,4962,4963,Dal,Mon,94,,,,true,1,O,1
550776,C,Evgeny Kuznetsov,"3,200.00",Was,20.00,1.40,1.4,0.4375,FALSE,,,,,1.4,4976,4964,4976,NJ,Was,91,,,,true,1,DTD,2
589971,D,Brenden Dillon,"2,900.00",SJ,13.00,1.40,1.4,0.4827586207,FALSE,,,,,1.4,4971,4956,4971,Cgy,SJ,94,,,,true,1,O,2
393187,D,Matt Hunwick,"2,500.00",NYR,7.00,1.70,1.36,0.544,FALSE,,,,,1.7,4966,4958,4966,Det,NYR,94,,,,true,1,DTD,1
184073,C,Dominic Moore,"2,500.00",NYR,7.00,1.70,1.36,0.544,FALSE,,,,,1.7,4966,4958,4966,Det,NYR,91,,,,true,1,DTD,2
554498,C,Calle Jarnkrok,"3,000.00",Nsh,10.00,1.30,1.3325,0.4441666667,TRUE,,TRUE,,,1.3,4980,4980,4957,Nsh,Chi,91,,,,true,1,DTD,1
562974,LW,Taylor Beck,"2,500.00",Nsh,5.00,1.30,1.3325,0.533,TRUE,,TRUE,,,1.3,4980,4980,4957,Nsh,Chi,92,,,,true,1,O,1
172168,LW,Daniel Paille,"2,500.00",Bos,26.00,1.00,1.325,0.53,FALSE,,TRUE,,,1.0,4954,4977,4954,Ari,Bos,92,,,,true,1,O,2
522049,LW,Marcus Foligno,"2,500.00",Buf,21.00,1.20,1.32,0.528,FALSE,,,,,1.2,4955,4979,4955,Fla,Buf,92,,,,true,1,O,2
597130,LW,Nicolas Deslauriers,"2,500.00",Buf,21.00,1.20,1.32,0.528,FALSE,,,,,1.2,4955,4979,4955,Fla,Buf,92,,,,true,1,O,1
490373,C,Colton Sceviour,"2,900.00",Dal,12.00,1.20,1.32,0.4551724138,TRUE,,,,,1.2,4962,4962,4963,Dal,Mon,91,,,,true,1,O,2
184289,C,Brooks Laich,"3,100.00",Was,20.00,1.30,1.3,0.4193548387,FALSE,,,,,1.3,4976,4964,4976,NJ,Was,91,,,,true,1,DTD,1
173242,LW,Shawn Thornton,"2,500.00",Fla,27.00,0.90,1.2825,0.513,TRUE,,TRUE,,,0.9,4979,4979,4955,Fla,Buf,92,,,,true,1,O,1
392946,D,Karl Alzner,"2,600.00",Was,8.00,1.60,1.28,0.4923076923,FALSE,,,,,1.6,4976,4964,4976,NJ,Was,94,,,,true,1,O,1
555860,D,Dalton Prout,"2,700.00",Cls,9.00,1.60,1.28,0.4740740741,FALSE,,,,,1.6,4982,4973,4982,TB,Cls,94,,,,true,1,O,2
329652,RW,Chris Stewart,"3,200.00",Buf,5.00,1.60,1.28,0.4,FALSE,,,,,1.6,4955,4979,4955,Fla,Buf,93,,,,true,1,DTD,2
170840,D,Stephane Robidas,"2,500.00",Tor,3.00,1.40,1.26,0.504,TRUE,,,,,1.4,4974,4974,4975,Tor,Van,94,,,,true,1,O,2
184079,LW,Tuomo Ruutu,"2,500.00",NJ,4.00,1.40,1.26,0.504,TRUE,,,,,1.4,4964,4964,4976,NJ,Was,92,,,,true,1,DTD,2
172472,D,Anton Volchenkov,"2,500.00",Nsh,6.00,1.20,1.23,0.492,TRUE,,TRUE,,,1.2,4980,4980,4957,Nsh,Chi,94,,,,true,1,O,2
176127,C,Paul Gaustad,"2,500.00",Nsh,10.00,1.20,1.23,0.492,TRUE,,TRUE,,,1.2,4980,4980,4957,Nsh,Chi,91,,,,true,1,DTD,2
170627,RW,Daniel Cleary,"2,700.00",Det,14.00,1.00,1.225,0.4537037037,TRUE,,TRUE,,,1.0,4958,4958,4966,Det,NYR,93,,,,true,1,O,2
339629,RW,Mike Brown,"2,500.00",SJ,19.00,0.90,1.215,0.486,FALSE,TRUE,,,,0.9,4971,4956,4971,Cgy,SJ,93,,,,true,1,DTD,1
329663,D,Chris Summers,"2,500.00",Ari,12.00,1.10,1.21,0.484,TRUE,,,,,1.1,4977,4977,4954,Ari,Bos,94,,,,true,1,DTD,2
743259,LW,Anthony Duclair,"2,500.00",NYR,1.00,1.50,1.2,0.48,FALSE,,,,,1.5,4966,4958,4966,Det,NYR,92,,,,true,1,O,1
732453,LW,Curtis McKenzie,"2,500.00",Dal,21.00,1.00,1.2,0.48,TRUE,,,,,1.0,4962,4962,4963,Dal,Mon,92,,,,true,1,O,2
522269,LW,Matt Calvert,"2,700.00",Cls,6.00,1.50,1.2,0.4444444444,FALSE,,,,,1.5,4982,4973,4982,TB,Cls,92,,,,true,1,O,1
504303,D,Tim Erixon,"2,500.00",Cls,9.00,1.50,1.2,0.48,FALSE,,,,,1.5,4982,4973,4982,TB,Cls,94,,,,true,1,O,2
296021,LW,Dan Carcillo,"2,600.00",Chi,3.00,1.50,1.2,0.4615384615,FALSE,,,,,1.5,4957,4980,4957,Nsh,Chi,92,,,,true,1,O,1
170629,C,Olli Jokinen,"2,500.00",Nsh,10.00,1.10,1.1275,0.451,TRUE,,TRUE,,,1.1,4980,4980,4957,Nsh,Chi,91,,,,true,1,O,2
479737,D,Brian Lashoff,"2,500.00",Det,5.00,1.10,1.1275,0.451,TRUE,,TRUE,,,1.1,4958,4958,4966,Det,NYR,94,,,,true,1,O,2
171321,LW,Jason Chimera,"3,000.00",Was,8.00,1.40,1.12,0.3733333333,FALSE,,,,,1.4,4976,4964,4976,NJ,Was,92,,,,true,1,DTD,2
504301,D,John Moore,"2,500.00",NYR,7.00,1.40,1.12,0.448,FALSE,,,,,1.4,4966,4958,4966,Det,NYR,94,,,,true,1,O,2
497014,C,Joakim Andersson,"2,500.00",Det,17.00,0.90,1.1025,0.441,TRUE,,TRUE,,,0.9,4958,4958,4966,Det,NYR,91,,,,true,1,O,2
504300,C,Jacob Josefson,"2,500.00",NJ,19.00,1.00,1.1,0.44,TRUE,,,,,1.0,4964,4964,4976,NJ,Was,91,,,,true,1,O,2
170951,D,Michal Rozsival,"2,500.00",Chi,14.00,1.10,1.1,0.44,FALSE,,,,,1.1,4957,4980,4957,Nsh,Chi,94,,,,true,1,O,2
555764,LW,Michael Ferland,"2,500.00",Cgy,19.00,1.00,1.1,0.44,TRUE,,,,,1.0,4956,4956,4971,Cgy,SJ,92,,,,true,1,O,1
170801,C,Manny Malhotra,"2,500.00",Mon,29.00,0.90,1.08,0.432,FALSE,,,,,0.9,4963,4962,4963,Dal,Mon,91,,,,true,1,O,2
729825,D,Nate Schmidt,"2,500.00",Was,8.00,1.30,1.04,0.416,FALSE,,,,,1.3,4976,4964,4976,NJ,Was,94,,,,true,1,O,2
