Pid,Pn,Name,S,Team,Or,Ppg,Projected,Home,Last 10 Days,Archive PPG,C,W,D,G
467252,D,Yannick Weber,"2,800.00",,16.00,1.80,5.35,FALSE,,1.8,FALSE,FALSE,TRUE,FALSE
541196,D,Ryan Stanton,"2,700.00",,16.00,1.80,5.35,FALSE,,1.8,FALSE,FALSE,TRUE,FALSE
377663,C,Shawn Matthias,"3,300.00",,15.00,2.00,5.35,FALSE,,2,TRUE,FALSE,FALSE,FALSE
600078,D,Adam Larsson,"3,100.00",,23.00,1.80,5.34,FALSE,,1.8,FALSE,FALSE,TRUE,FALSE
171099,D,Willie Mitchell,"2,700.00",,24.00,1.80,5.34,TRUE,,1.8,FALSE,FALSE,TRUE,FALSE
556404,D,Zach Trotman,"2,500.00",,25.00,1.80,5.34,FALSE,,1.8,FALSE,FALSE,TRUE,FALSE
232379,D,John-Michael Liles,"3,400.00",,28.00,1.80,5.34,TRUE,,1.8,FALSE,FALSE,TRUE,FALSE
522049,LW,Marcus Foligno,"2,600.00",,9.00,1.20,5.34,FALSE,,1.2,FALSE,TRUE,FALSE,FALSE
597130,LW,Nicolas Deslauriers,"2,500.00",,9.00,1.20,5.34,FALSE,,1.2,FALSE,TRUE,FALSE,FALSE
172235,LW,Tomas Fleischmann,"2,800.00",,19.00,1.20,5.33,TRUE,,1.2,FALSE,TRUE,FALSE,FALSE
547228,RW,Matt Fraser,"2,500.00",,22.00,1.20,5.32,FALSE,,1.2,FALSE,TRUE,FALSE,FALSE
547476,D,Korbinian Holzer,"2,700.00",,9.00,1.70,5.32,TRUE,,1.7,FALSE,FALSE,TRUE,FALSE
741411,D,Rasmus Ristolainen,"3,200.00",,10.00,1.70,5.32,FALSE,,1.7,FALSE,FALSE,TRUE,FALSE
478204,LW,Dwight King,"2,700.00",,26.00,1.20,5.32,FALSE,,1.2,FALSE,TRUE,FALSE,FALSE
172444,RW,Tomas Kopecky,"2,500.00",,30.00,1.20,5.32,TRUE,,1.2,FALSE,TRUE,FALSE,FALSE
456831,D,Luca Sbisa,"2,500.00",,16.00,1.70,5.31,FALSE,,1.7,FALSE,FALSE,TRUE,FALSE
296053,C,Brad Richardson,"2,500.00",,15.00,1.90,5.31,FALSE,,1.9,TRUE,FALSE,FALSE,FALSE
504279,D,Calvin de Haan,"3,000.00",,27.00,1.70,5.30,FALSE,,1.7,FALSE,FALSE,TRUE,FALSE
329417,C,Mikhail Grabovski,"3,300.00",,21.00,1.90,5.30,FALSE,,1.9,TRUE,FALSE,FALSE,FALSE
184263,RW,Alexander Semin,"3,200.00",,7.00,1.10,5.30,TRUE,,1.1,FALSE,TRUE,FALSE,FALSE
681456,C,Seth Griffith,"2,500.00",,23.00,1.90,5.30,FALSE,,1.9,TRUE,FALSE,FALSE,FALSE
392971,D,Brendan Smith,"2,900.00",,30.00,1.70,5.30,TRUE,,1.7,FALSE,FALSE,TRUE,FALSE
