ID,Pos,Name,Sal,Team,OR,FPPG,Projected
172592,W,Ales Hemsky,"3,600",DAL,5.00,0.69,0.552
172444,W,Tomas Kopecky,"3,100",FLA,9.00,0.67,0.536
329379,W,Patrick Dwyer,"3,700",CAR,3.00,0.66,0.528
172192,W,Jordin Tootoo,"3,500",NJ,8.00,0.64,0.512
170546,W,Dainius Zubrus,"3,500",NJ,1.00,0.57,0.456
446376,W,Jesse Joensuu,"3,250",EDM,10.00,0.56,0.448
171296,W,Craig Adams,"3,250",PIT,12.00,0.44,0.44
174717,W,Travis Moen,"3,000",DAL,14.00,0.43,0.43
172443,W,Steve Ott,"3,250",STL,18.00,0.37,0.37
402054,W,Chris Porter,"3,000",STL,30.00,0.25,0.35
297844,W,Nicklas Jensen,"3,900",VAN,4.00,0.42,0.336
456855,W,T.J. Galiardi,"3,250",WPG,29.00,0.24,0.336
379020,W,Steven Pinizzotto,"3,300",EDM,16.00,0.33,0.33
456690,W,Matt Halischuk,"3,000",WPG,22.00,0.2,0.24
325206,W,Adam Cracknell,"3,000",CBJ,18.00,0.23,0.23
741444,W,Alexander Wennberg,"3,350",CBJ,15.00,0.22,0.22
495948,W,Luke Gazdic,"3,000",EDM,10.00,0.25,0.2
232292,W,Chris Thorburn,"3,250",WPG,22.00,0.15,0.18
235441,W,Michael Bournival,"3,400",MTL,18.00,0.17,0.17
494189,W,Anthony Peluso,"3,000",WPG,22.00,0.13,0.156
551535,W,Corey Tropp,"3,000",CBJ,18.00,0.1,0.1
381464,W,Jared Boll,"3,000",CBJ,18.00,0.08,0.08
831092,W,David Pastrnak,"3,000",BOS,1.00,0,0
326167,W,Patrick Kaleta,"3,250",BUF,19.00,-0.13,-0.13
452133,W,Valeri Nichushkin,"3,750",DAL,15.00,-0.19,-0.19
