Pid,Pn,Name,S,Team,Or,Ppg,Ppg-Last 10,Projected,Projected-Last 10,Difference,Value,Streak,Back2Back,Home,Last 10,vsBackup,isStarting,isStarter,goalieBack2Back,Ppg-Archive,Tid,Htid,Atid,Htabbr,Atabbr,Posid,Isdisabledfromdrafting,Exceptionalmessages,Swp,Pp,I,News
170627,RW,Daniel Cleary,"2,700.00",Det,11.00,1.00,1.00,1,0.7,-0.3,0.3703703704,2,TRUE,FALSE,,,,,,1.0,4958,4960,4958,Car,Det,93,,,true,,DTD,1
329379,RW,Patrick Dwyer,"2,500.00",Car,6.00,0.90,0.90,0.9225,0.6525,-0.27,0.369,-1,TRUE,TRUE,,TRUE,,,,0.9,4960,4960,4958,Car,Det,93,,,true,,DL,1
544188,D,Michal Jordan,"2,500.00",Car,6.00,0.90,0.90,0.9225,0.6525,-0.27,0.369,-1,TRUE,TRUE,,TRUE,,,,0.9,4960,4960,4958,Car,Det,94,,,true,,O,2
543480,D,Eric Gryba,"2,500.00",Ott,3.00,0.90,0.90,0.81,0.63,-0.18,0.324,-5,,TRUE,,,,,,0.9,4967,4967,4975,Ott,Van,94,,,true,,O,2
497014,C,Joakim Andersson,"2,500.00",Det,14.00,0.90,0.90,0.9,0.63,-0.27,0.36,2,TRUE,FALSE,,,,,,0.9,4958,4960,4958,Car,Det,91,,,true,,O,2
591919,D,Mark Borowiecki,"2,500.00",Ott,3.00,0.80,0.80,0.72,0.56,-0.16,0.288,-5,,TRUE,,,,,,0.8,4967,4967,4975,Ott,Van,94,,,true,,O,1
232292,RW,Chris Thorburn,"2,500.00",Wpg,20.00,0.60,0.60,0.66,0.54,-0.12,0.264,2,,TRUE,,,,,,0.6,4981,4981,4978,Wpg,Anh,93,,,true,,DL,2
172140,C,Jim Slater,"2,500.00",Wpg,11.00,0.60,0.60,0.66,0.54,-0.12,0.264,2,,TRUE,,,,,,0.6,4981,4981,4978,Wpg,Anh,91,,,true,,DL,2
544673,LW,Colin Greening,"2,600.00",Ott,16.00,0.60,0.60,0.66,0.54,-0.12,0.2538461538,-5,,TRUE,,,,,,0.6,4967,4967,4975,Ott,Van,92,,,true,,DL,2
355880,LW,John Scott,"2,500.00",SJ,28.00,0.40,0.40,0.48,0.52,0.04,0.192,4,TRUE,FALSE,,,,,,0.4,4971,4959,4971,Edm,SJ,92,,,true,,DL,1
269518,D,Mark Fistric,"2,500.00",Anh,9.00,0.60,0.60,0.48,0.48,0,0.192,3,,FALSE,,,,,,0.6,4978,4981,4978,Wpg,Anh,94,,,true,,DL,2
522063,D,Mat Clark,"2,500.00",Anh,9.00,0.60,0.60,0.48,0.48,0,0.192,3,,FALSE,,,,,,0.6,4978,4981,4978,Wpg,Anh,94,,,true,,O,2
456690,RW,Matt Halischuk,"2,500.00",Wpg,20.00,0.50,0.50,0.55,0.45,-0.1,0.22,2,,TRUE,,,,,,0.5,4981,4981,4978,Wpg,Anh,93,,,true,,O,2
447863,D,Grant Clitsome,"2,500.00",Wpg,18.00,0.50,0.50,0.55,0.45,-0.1,0.22,2,,TRUE,,,,,,0.5,4981,4981,4978,Wpg,Anh,94,,,true,,O,2
600131,LW,Nicklas Jensen,"2,500.00",Van,12.00,0.60,0.60,0.6,0.42,-0.18,0.24,-1,TRUE,FALSE,,,,,,0.6,4975,4967,4975,Ott,Van,92,,,true,,O,1
594397,C,Brad Malone,"2,500.00",Car,7.00,0.50,0.50,0.5125,0.3625,-0.15,0.205,-1,TRUE,TRUE,,TRUE,,,,0.5,4960,4960,4958,Car,Det,91,,,true,,O,1
452001,LW,T.J. Galiardi,"2,600.00",Wpg,9.00,0.50,0.50,0.45,0.35,-0.1,0.1730769231,2,,TRUE,,,,,,0.5,4981,4981,4978,Wpg,Anh,92,,,true,,DL,2
522376,D,Colby Robak,"2,500.00",Anh,9.00,0.30,0.30,0.24,0.24,0,0.096,3,,FALSE,,,,,,0.3,4978,4981,4978,Wpg,Anh,94,,,true,,O,2
380575,LW,Tom Sestito,"2,500.00",Van,12.00,0.30,0.30,0.3,0.21,-0.09,0.12,-1,TRUE,FALSE,,,,,,0.3,4975,4967,4975,Ott,Van,92,,,true,,DL,2
494189,RW,Anthony Peluso,"2,500.00",Wpg,20.00,0.20,0.20,0.22,0.18,-0.04,0.088,2,,TRUE,,,,,,0.2,4981,4981,4978,Wpg,Anh,93,,,true,,O,2
453211,D,Julien Brouillette,"2,500.00",Wpg,18.00,0.00,0.00,0,0,0,0,2,,TRUE,,,,,,0.0,4981,4981,4978,Wpg,Anh,94,,,true,,O,2
547717,G,Jacob Markstrom,"6,500.00",Van,16.00,0.00,0.00,0,0,0,0,-1,TRUE,FALSE,,,,,,0.0,4975,4967,4975,Ott,Van,95,,,true,,DTD,2
610897,D,Frank Corrado,"2,500.00",Van,28.00,0.00,0.00,0,0,0,0,-1,TRUE,FALSE,,,,,,0.0,4975,4967,4975,Ott,Van,94,,,true,,O,1
728576,G,Andrew Hammond,"6,200.00",Ott,3.00,0.00,0.00,0,0,0,0,-5,,TRUE,,,,,,0.0,4967,4967,4975,Ott,Van,95,,,true,,DTD,2
447451,LW,Justin Abdelkader,"4,400.00",Det,18.00,0.00,0.00,0,0,0,0,2,TRUE,FALSE,,,,,,3.0,4958,4960,4958,Car,Det,92,,,true,,O,2
329579,D,Andrej Sekera,"3,500.00",Car,6.00,0.00,0.00,0,0,0,0,-1,TRUE,TRUE,,TRUE,,,,2.1,4960,4960,4958,Car,Det,94,,,true,,DTD,2
555392,RW,Chris Wagner,"2,500.00",Anh,2.00,0.00,0.00,0,0,0,0,3,,FALSE,,,,,,0.0,4978,4981,4978,Wpg,Anh,93,,,true,,O,2
571307,G,Igor Bobkov,"6,400.00",Anh,26.00,0.00,0.00,0,0,0,0,3,,FALSE,,,,,,0.0,4978,4981,4978,Wpg,Anh,95,,,true,,DTD,1
170719,D,Sheldon Souray,"2,700.00",Anh,9.00,0.00,0.00,0,0,0,0,3,,FALSE,,,,,,0.0,4978,4981,4978,Wpg,Anh,94,,,true,,DL,1
451384,G,Antti Niemi,"8,800.00",SJ,29.00,4.60,4.00,0,-0.46,-0.46,0,4,TRUE,FALSE,,,FALSE,TRUE,,4.6,4971,4959,4971,Edm,SJ,95,,,true,,,2
656273,G,Viktor Fasth,"6,200.00",Edm,17.00,2.30,2.10,0,-0.92,-0.92,0,-11,,TRUE,,TRUE,,,,2.3,4959,4959,4971,Edm,SJ,95,,,true,,DTD,1
395751,G,Anton Khudobin,"6,500.00",Car,6.00,2.50,2.50,0,-1.25,-1.25,0,-1,TRUE,TRUE,,TRUE,,,,2.5,4960,4960,4958,Car,Det,95,,,true,,DTD,2
543662,G,Eddie Lack,"6,500.00",Van,16.00,3.30,3.30,0,-1.65,-1.65,0,-1,TRUE,FALSE,,,,,,3.3,4975,4967,4975,Ott,Van,95,,,true,,DTD,2
543477,G,Michael Hutchinson,"8,400.00",Wpg,10.00,5.00,5.00,0,-2,-2,0,2,,TRUE,,,,,,5.0,4981,4981,4978,Wpg,Anh,95,,,true,,,2
298149,G,Jimmy Howard,"7,500.00",Det,28.00,4.60,4.60,0,-2.3,-2.3,0,2,TRUE,FALSE,,,FALSE,TRUE,TRUE,4.6,4958,4960,4958,Car,Det,95,,,true,,DTD,2
